###########
# Mechs A #
###########

chassis "Adder" "mechs/Adder.gif"
exact "Adder A" "mechs/Adder A.gif"
exact "Adder B" "mechs/Adder B.gif"
exact "Adder C" "mechs/Adder C.gif"
exact "Adder D" "mechs/Adder D.gif"
exact "Adder E" "mechs/Adder E.gif"
exact "Adder H" "mechs/Adder H.gif"
exact "Adder J" "mechs/Adder J.gif"

chassis "Akuma"       "mechs/Akuma.gif"
exact "Akuma AKU-1XJ" "mechs/Akuma AKU-1XJ.gif"

chassis "Albatross" "mechs/Albatross.gif"

chassis "Alfar" "mechs/Alfar.gif"

chassis "Annihilator"              "mechs/Annihilator.gif"
exact "Annihilator ANH-2AX"        "mechs/Annihilator ANH-2AX.gif"
exact "Annihilator C "Gausszilla"" "mechs/Annihilator C.gif"
exact "Annihilator C 2"            "mechs/Annihilator C2.gif"

chassis "Anubis" "mechs/Anubis.gif"

chassis "Anvil" "mechs/Anvil.gif"

chassis "Apollo" "mechs/Apollo.gif"

chassis "Aquagladius" "defaults/default_medium.gif"

chassis "Arbalest" "mechs/Arbalest.gif"

chassis "Arcas" "mechs/Arcas.gif"
exact "Arcas 2" "mechs/Arcas 2.gif"

chassis "Archangel"                 "mechs/Archangel.gif"
exact "Archangel C-ANG-OA Dominus"  "mechs/Archangel C-ANG-OA Dominus.gif"
exact "Archangel C-ANG-OB Infernus" "mechs/Archangel C-ANG-OB Infernus.gif"
exact "Archangel C-ANG-OC Comminus" "mechs/Archangel C-ANG-OC Comminus.gif"
exact "Archangel C-ANG-OD Luminos"  "mechs/Archangel C-ANG-OD Luminos.gif"
exact "Archangel C-ANG-OE Eminus"   "mechs/Archangel C-ANG-OE Eminus.gif"

chassis "Archer" "mechs/Archer.gif"
exact "Archer ARC-2K" "mechs/Archer ARC-2K.gif"
exact "Archer ARC-2S" "mechs/Archer ARC-2S.gif"
exact "Archer ARC-6S" "mechs/Archer ARC-6S.gif"
exact "Archer ARC-6W" "mechs/Archer ARC-6W.gif"
exact "Archer ARC-7L" "mechs/Archer ARC-7L.gif"
exact "Archer ARC-8M" "mechs/Archer ARC-8M.gif"
exact "Archer ARC-9K" "mechs/Archer ARC-9K.gif"

chassis "Arctic Fox"    "mechs/Arctic Fox AF1.gif"
exact "Arctic Fox AF1A" "mechs/Arctic Fox AF1A.gif"
exact "Arctic Fox AF1B" "mechs/Arctic Fox AF1B.gif"
exact "Arctic Fox AF1C" "mechs/Arctic Fox AF1C.gif"
exact "Arctic Fox AF1D" "mechs/Arctic Fox AF1D.gif"
exact "Arctic Fox AF1E" "mechs/Arctic Fox AF1E.gif"
exact "Arctic Fox AF1F" "mechs/Arctic Fox AF1F.gif"

chassis "Arctic Wolf" "mechs/Arctic Wolf.gif"
exact "Arctic Wolf 2" "mechs/Arctic Wolf 2.gif"

chassis "Argus"      "mechs/Argus.gif"
exact "Argus AGS-2D" "mechs/Argus AGS-2D.gif"

chassis "Assassin"            "mechs/Assassin.gif"
exact "Assassin ASN-101"      "mechs/Assassin ASN-101.gif"
exact "Assassin ASN 30 Alice" "mechs/Assassin ASN-30 Alice.gif"

chassis "Atlas"      "mechs/Atlas.gif"
exact "Atlas AS7-K"  "mechs/Atlas AS7-K.gif"
exact "Atlas AS7-K2" "mechs/Atlas AS7-K2.gif"
exact "Atlas AS7-K3" "mechs/Atlas AS7-K3.gif"

chassis "Atlas II" "mechs/Atlas II.gif"

chassis "Avatar"      "mechs/Avatar.gif"
exact "Avatar AV1-OA" "mechs/Avatar AV1-OA.gif"
exact "Avatar AV1-OB" "mechs/Avatar AV1-OB.gif"
exact "Avatar AV1-OC" "mechs/Avatar AV1-OC.gif"
exact "Avatar AV1-OD" "mechs/Avatar AV1-OD.gif"
exact "Avatar AV1-OE" "mechs/Avatar AV1-OE.gif"
exact "Avatar AV1-OF" "mechs/Avatar AV1-OF.gif"

chassis "Awesome"          "mechs/Awesome.gif"
exact "Awesome AWS-8R"     "mechs/Awesome AWS-8R.gif"
exact "Awesome AWS-8T"     "mechs/Awesome AWS-8T.gif"
exact "Awesome AWS-8V"     "mechs/Awesome AWS-8V.gif"
exact "Awesome Jr. AWS-JR" "mechs/Awesome jr AWS-JR.gif"
exact "Awesome AWS-9Q"     "mechs/Awesome AWS-9Q.gif"
exact "Awesome AWS-10KM"   "mechs/Awesome AWS-10KM.gif"

chassis "Axman"      "mechs/Axman.gif"
exact "Axman AXM-2N" "mechs/Axman AXM-2N.gif"


###########
# Mechs B #
###########

chassis "Balius" "mechs/Balius.gif"
exact "Balius A" "mechs/Balius A.gif"
exact "Balius B" "mechs/Balius B.gif"
